experience_level,employment_type,job_title,salary_in_usd,company_location,company_size
Mid-Level,Full-Time,Data Engineer,50000,GB,Medium
Senior-Level,Full-Time,Data Scientist,184800,US,Medium
Senior-Level,Full-Time,Data Analyst,207300,US,Medium
Mid-Level,Full-Time,Business Intelligence Analyst,120672,US,Medium
Senior-Level,Full-Time,Data Science Consultant,157550,US,Medium
Senior-Level,Full-Time,Research Scientist,245000,US,Medium
Mid-Level,Full-Time,Data Manager,100000,US,Medium
Senior-Level,Full-Time,Data Manager,168400,US,Medium
Senior-Level,Full-Time,Data Scientist,182250,US,Medium
Senior-Level,Full-Time,Data Scientist,210000,US,Medium
Senior-Level,Full-Time,Data Science Consultant,122000,US,Medium
Senior-Level,Full-Time,Data Scientist,126500,US,Medium
Senior-Level,Full-Time,Data Scientist,174500,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,139500,US,Medium
Senior-Level,Full-Time,Data Engineer,221000,US,Medium
Senior-Level,Full-Time,Data Scientist,201450,US,Medium
Senior-Level,Full-Time,Data Engineer,127000,CA,Medium
Mid-Level,Full-Time,Data Engineer,51824,FR,Medium
Senior-Level,Full-Time,Data Scientist,123000,US,Medium
Mid-Level,Full-Time,Data Analyst,65000,US,Medium
Senior-Level,Full-Time,Business Intelligence,150000,US,Medium
Mid-Level,Full-Time,Data Engineer,92000,US,Medium
Senior-Level,Full-Time,Data Analytics Lead,239300,US,Medium
Mid-Level,Full-Time,Data Engineer,167500,US,Medium
Mid-Level,Full-Time,Data Engineer,98000,US,Medium
Senior-Level,Full-Time,Research Engineer,150000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,208000,US,Medium
Senior-Level,Full-Time,Data Scientist,157500,US,Medium
Entry-Level,Full-Time,Research Scientist,42000,NL,Large
Senior-Level,Full-Time,Data Engineer,180000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,127876,US,Medium
Senior-Level,Full-Time,Data Scientist,99360,US,Medium
Mid-Level,Full-Time,Data Scientist,82254,CA,Large
Mid-Level,Full-Time,Data Engineer,110820,GB,Medium
Senior-Level,Full-Time,Business Intelligence,175000,US,Medium
Senior-Level,Full-Time,Data Modeler,140000,US,Medium
Executive-Level,Full-Time,Analytics Engineer,157000,US,Medium
Senior-Level,Full-Time,Data Scientist,136000,US,Medium
Mid-Level,Full-Time,Data Analyst,53000,US,Medium
Senior-Level,Full-Time,Data Engineer,76050,ZA,Medium
Senior-Level,Full-Time,Applied Scientist,260000,US,Large
Senior-Level,Full-Time,Research Scientist,127300,US,Large
Mid-Level,Full-Time,Robotics Engineer,90000,US,Medium
Entry-Level,Full-Time,Data Analyst,46000,US,Large
Senior-Level,Full-Time,Data Scientist,135000,US,Medium
Senior-Level,Full-Time,Data Analyst,155000,CA,Medium
Senior-Level,Full-Time,Data Analyst,51962,US,Medium
Senior-Level,Full-Time,Data Engineer,138750,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,93300,EG,Medium
Senior-Level,Full-Time,Research Engineer,115607,US,Medium
Entry-Level,Full-Time,Research Analyst,250000,US,Medium
Senior-Level,Full-Time,Data Science Consultant,131100,US,Medium
Senior-Level,Full-Time,Data Engineer,130000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,212500,US,Medium
Senior-Level,Full-Time,Data Analyst,69000,US,Medium
Senior-Level,Full-Time,Data Scientist,132000,US,Medium
Senior-Level,Full-Time,Data Analyst,108000,US,Medium
Senior-Level,Full-Time,Machine Learning Infrastructure Engineer,127300,US,Medium
Senior-Level,Full-Time,Business Intelligence Engineer,185000,US,Large
Entry-Level,Full-Time,Data Scientist,34924,PL,Medium
Senior-Level,Full-Time,Data Scientist,185400,US,Medium
Entry-Level,Full-Time,Data Analyst,48000,US,Medium
Mid-Level,Full-Time,Analytics Engineer,73880,GB,Medium
Mid-Level,Full-Time,Data Engineer,120000,US,Medium
Senior-Level,Full-Time,Data Analytics Manager,145000,US,Medium
Senior-Level,Full-Time,Data Scientist,211000,US,Medium
Senior-Level,Full-Time,Research Scientist,165500,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,176300,US,Medium
Senior-Level,Full-Time,Data Architect,193000,US,Medium
Senior-Level,Full-Time,Data Analyst,105000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,225000,US,Medium
Senior-Level,Full-Time,Data Scientist,155000,US,Medium
Senior-Level,Full-Time,Data Engineer,146115,US,Medium
Senior-Level,Full-Time,Data Scientist,220000,US,Medium
Senior-Level,Full-Time,ML Engineer,220000,US,Medium
Mid-Level,Full-Time,Data Analytics Consultant,57500,US,Medium
Senior-Level,Full-Time,Data Architect,64200,US,Medium
Mid-Level,Full-Time,Data Engineer,112000,US,Medium
Senior-Level,Full-Time,Data Analyst,106020,US,Medium
Senior-Level,Full-Time,Data Manager,233500,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,194100,US,Medium
Mid-Level,Full-Time,Business Intelligence Manager,166500,US,Medium
Mid-Level,Full-Time,BI Analyst,70000,US,Medium
Senior-Level,Full-Time,Analytics Engineer,138750,US,Medium
Mid-Level,Full-Time,Data Analyst,49253,GB,Medium
Senior-Level,Full-Time,Business Intelligence Engineer,79600,US,Large
Senior-Level,Full-Time,Business Intelligence Developer,169000,US,Medium
Senior-Level,Full-Time,Data Engineer,62500,GB,Medium
Mid-Level,Full-Time,Data Engineer,185000,US,Medium
Mid-Level,Full-Time,Data Engineer,184000,US,Medium
Senior-Level,Full-Time,Applied Scientist,260000,US,Large
Senior-Level,Full-Time,Data Manager,145000,US,Medium
Executive-Level,Full-Time,Data Engineer,123471,GB,Medium
Senior-Level,Full-Time,Machine Learning Engineer,323300,US,Medium
Mid-Level,Full-Time,ML Engineer,110000,US,Medium
Mid-Level,Full-Time,Data Scientist,116990,US,Medium
Senior-Level,Full-Time,Data Scientist,147500,US,Medium
Senior-Level,Full-Time,Data Engineer,132624,US,Medium
Senior-Level,Full-Time,Data Engineer,145000,US,Medium
Senior-Level,Full-Time,Computer Vision Engineer,351000,US,Medium
Senior-Level,Full-Time,Data Engineer,124740,US,Medium
Entry-Level,Freelance,Data Analytics Consultant,50000,US,Small
Senior-Level,Full-Time,Data Engineer,186000,US,Medium
Senior-Level,Full-Time,Data Engineer,252000,US,Medium
Senior-Level,Full-Time,Applied Scientist,136000,US,Large
Senior-Level,Full-Time,Machine Learning Engineer,180000,US,Medium
Senior-Level,Full-Time,Data Scientist,170000,US,Medium
Senior-Level,Full-Time,Data Scientist,170000,US,Medium
Senior-Level,Full-Time,Data Science Engineer,60000,MX,Large
Entry-Level,Full-Time,Research Analyst,84068,US,Medium
Senior-Level,Full-Time,Data Engineer,81500,US,Medium
Senior-Level,Full-Time,Business Intelligence Engineer,185000,US,Large
Senior-Level,Full-Time,Machine Learning Engineer,240000,US,Medium
Senior-Level,Full-Time,Research Scientist,202350,US,Medium
Entry-Level,Full-Time,Data Engineer,120000,US,Medium
Senior-Level,Full-Time,Data Engineer,173000,US,Medium
Senior-Level,Full-Time,Data Scientist,38868,ES,Medium
Mid-Level,Full-Time,Data Analyst,42107,DE,Medium
Senior-Level,Full-Time,Data Scientist,170000,US,Medium
Senior-Level,Full-Time,Research Engineer,200000,US,Medium
Entry-Level,Full-Time,Data Analyst,85000,US,Medium
Senior-Level,Full-Time,Data Scientist,190000,US,Medium
Mid-Level,Full-Time,Data Engineer,106800,US,Medium
Senior-Level,Full-Time,Business Intelligence Engineer,108500,US,Medium
Senior-Level,Full-Time,Business Intelligence Engineer,108500,US,Medium
Mid-Level,Full-Time,Data Science Manager,180000,US,Medium
Senior-Level,Full-Time,Business Intelligence Engineer,78800,US,Medium
Senior-Level,Full-Time,Data Engineer,171250,US,Medium
Senior-Level,Full-Time,Applied Scientist,136000,US,Large
Senior-Level,Full-Time,Data Scientist,215000,US,Medium
Senior-Level,Full-Time,Analytics Engineer,132100,US,Medium
Mid-Level,Full-Time,Data Engineer,143000,US,Medium
Mid-Level,Full-Time,Research Engineer,100000,US,Medium
Entry-Level,Full-Time,Research Scientist,252990,US,Medium
Senior-Level,Full-Time,Data Science Consultant,109000,US,Medium
Mid-Level,Full-Time,Research Engineer,120000,US,Medium
Senior-Level,Full-Time,Data Scientist,200000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,140000,US,Medium
Senior-Level,Full-Time,Data Analyst,145000,US,Medium
Senior-Level,Full-Time,Data Analyst,100000,US,Medium
Mid-Level,Full-Time,Data Analyst,123000,US,Medium
Entry-Level,Full-Time,Data Analyst,180700,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,148594,US,Medium
Senior-Level,Full-Time,Data Engineer,140000,US,Medium
Senior-Level,Full-Time,Data Architect,175000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,165000,US,Medium
Senior-Level,Full-Time,Machine Learning Software Engineer,189000,US,Medium
Senior-Level,Full-Time,AI Engineer,136800,US,Medium
Senior-Level,Full-Time,Data Analyst,93700,US,Medium
Senior-Level,Full-Time,Data Engineer,175000,US,Medium
Entry-Level,Full-Time,Data Science,86900,US,Medium
Senior-Level,Full-Time,Data Engineer,81500,US,Medium
Mid-Level,Full-Time,Data Engineer,123000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,215000,US,Medium
Mid-Level,Full-Time,Machine Learning Engineer,150000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,238000,US,Medium
Senior-Level,Full-Time,Data Scientist,161500,US,Medium
Mid-Level,Full-Time,Data Analyst,98873,US,Medium
Senior-Level,Full-Time,Business Intelligence Engineer,156400,US,Medium
Senior-Level,Full-Time,Data Scientist,194500,US,Medium
Senior-Level,Full-Time,Data Engineer,161000,US,Medium
Senior-Level,Full-Time,BI Data Analyst,72338,DE,Medium
Mid-Level,Full-Time,Data Architect,150000,US,Large
Senior-Level,Full-Time,Data Engineer,105200,US,Medium
Senior-Level,Full-Time,Data Engineer,300000,US,Medium
Senior-Level,Full-Time,Data Analytics Lead,115920,US,Medium
Senior-Level,Full-Time,Analytics Engineer,120000,US,Medium
Mid-Level,Full-Time,Data Strategist,134400,US,Medium
Senior-Level,Full-Time,Machine Learning Scientist,180514,US,Medium
Mid-Level,Full-Time,Data Manager,120000,US,Medium
Senior-Level,Full-Time,Data Specialist,165000,US,Large
Senior-Level,Full-Time,Data Engineer,190000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,267900,US,Medium
Senior-Level,Full-Time,Data Scientist,175000,US,Medium
Senior-Level,Full-Time,Data Analyst,150000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,226600,US,Medium
Senior-Level,Full-Time,Data Engineer,146000,US,Medium
Senior-Level,Full-Time,Data Engineer,113000,US,Medium
Senior-Level,Full-Time,Data Scientist,111500,US,Medium
Senior-Level,Full-Time,Data Engineer,129300,US,Medium
Mid-Level,Full-Time,Data Scientist,130410,US,Medium
Mid-Level,Full-Time,Data Engineer,70000,US,Medium
Mid-Level,Full-Time,Data Analyst,61566,GB,Medium
Mid-Level,Full-Time,Applied Scientist,250000,US,Medium
Senior-Level,Full-Time,Data Analyst,206000,US,Medium
Senior-Level,Full-Time,Data Analyst,122000,US,Medium
Senior-Level,Full-Time,Data Scientist,140000,US,Medium
Senior-Level,Full-Time,Data Analyst,143520,US,Medium
Senior-Level,Full-Time,Machine Learning Scientist,220000,US,Medium
Senior-Level,Full-Time,Data Manager,100000,US,Medium
Senior-Level,Full-Time,ML Engineer,165400,US,Medium
Executive-Level,Full-Time,Data Scientist,185000,US,Medium
Entry-Level,Full-Time,Data Analyst,50000,US,Medium
Mid-Level,Full-Time,Robotics Software Engineer,198000,US,Medium
Mid-Level,Full-Time,Analytics Engineer,700000,US,Medium
Senior-Level,Full-Time,Data Architect,63000,US,Medium
Senior-Level,Full-Time,Data Analyst,63831,DE,Large
Senior-Level,Full-Time,Data Engineer,178500,US,Medium
Executive-Level,Full-Time,Data Scientist,228856,GB,Medium
Mid-Level,Full-Time,Data Science Lead,185900,US,Medium
Senior-Level,Full-Time,Data Scientist,139000,US,Medium
Senior-Level,Full-Time,Data Engineer,105700,US,Large
Mid-Level,Full-Time,Data Scientist,128750,US,Medium
Senior-Level,Full-Time,Data Engineer,115000,US,Medium
Senior-Level,Full-Time,Research Scientist,151900,US,Medium
Mid-Level,Full-Time,Analytics Engineer,221500,US,Medium
Mid-Level,Full-Time,MLOps Engineer,124000,US,Medium
Senior-Level,Full-Time,Machine Learning Modeler,204500,US,Medium
Senior-Level,Full-Time,Data Engineer,167200,US,Medium
Senior-Level,Full-Time,Data Engineer,204500,US,Medium
Executive-Level,Full-Time,Data Analyst,62500,GB,Medium
Senior-Level,Full-Time,Data Engineer,120000,US,Medium
Mid-Level,Full-Time,Data Engineer,69000,US,Medium
Senior-Level,Full-Time,Data Analyst,81666,US,Medium
Executive-Level,Full-Time,Director of Data Science,201900,US,Medium
Senior-Level,Full-Time,Business Intelligence Developer,110600,US,Medium
Senior-Level,Full-Time,Data Scientist,106800,US,Medium
Mid-Level,Full-Time,Data Science,66000,US,Medium
Senior-Level,Full-Time,Data Scientist,141525,US,Medium
Senior-Level,Full-Time,Data Engineer,240500,US,Large
Mid-Level,Full-Time,Analytics Engineer,116480,US,Medium
Senior-Level,Full-Time,Data Engineer,105200,US,Medium
Senior-Level,Full-Time,Data Scientist,153000,US,Medium
Mid-Level,Full-Time,Machine Learning Engineer,106720,US,Medium
Senior-Level,Full-Time,Data Analyst,99450,US,Medium
Mid-Level,Full-Time,Data Engineer,110000,FR,Medium
Senior-Level,Full-Time,Machine Learning Engineer,164000,US,Medium
Senior-Level,Full-Time,Data Analyst,95000,US,Medium
Senior-Level,Full-Time,Data Lead,76075,US,Medium
Senior-Level,Full-Time,Data Analyst,56143,ES,Medium
Mid-Level,Full-Time,Data Analyst,149000,US,Medium
Senior-Level,Full-Time,Data Analyst,106020,US,Medium
Senior-Level,Full-Time,Data Engineer,290000,US,Medium
Senior-Level,Full-Time,Data Architect,400000,US,Medium
Mid-Level,Full-Time,Data Scientist,106500,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,300000,US,Medium
Entry-Level,Full-Time,Data Analyst,105000,US,Medium
Senior-Level,Full-Time,Data Scientist,236160,US,Medium
Senior-Level,Full-Time,Data Engineer,121000,US,Medium
Senior-Level,Full-Time,Data Engineer,130000,US,Medium
Executive-Level,Full-Time,Data Engineer,168854,US,Medium
Senior-Level,Full-Time,Data Engineer,250000,US,Medium
Mid-Level,Full-Time,Data Scientist,137500,US,Medium
Senior-Level,Full-Time,Data Engineer,140000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,262000,US,Medium
Mid-Level,Full-Time,Machine Learning Software Engineer,217600,US,Medium
Mid-Level,Full-Time,Data Engineer,70000,US,Medium
Mid-Level,Full-Time,Data Scientist,147400,US,Medium
Senior-Level,Full-Time,Applied Scientist,136000,US,Large
Senior-Level,Full-Time,Applied Scientist,164000,US,Medium
Mid-Level,Full-Time,Business Intelligence Analyst,120000,US,Medium
Senior-Level,Full-Time,Research Engineer,189110,US,Medium
Senior-Level,Full-Time,Data Scientist,167310,US,Medium
Senior-Level,Full-Time,Data Scientist,167200,US,Medium
Senior-Level,Full-Time,Data Engineer,139700,US,Medium
Senior-Level,Full-Time,Data Scientist,70000,US,Medium
Executive-Level,Full-Time,Head of Machine Learning,438000,US,Medium
Mid-Level,Full-Time,Data Analytics Manager,155000,US,Medium
Mid-Level,Full-Time,Data Analyst,73100,US,Medium
Senior-Level,Full-Time,Data Scientist,185000,US,Medium
Mid-Level,Full-Time,Data Engineer,61600,US,Medium
Executive-Level,Full-Time,Data Science,97254,US,Medium
Senior-Level,Full-Time,Data Engineer,33511,MX,Small
Senior-Level,Full-Time,Data Engineer,130000,US,Medium
Mid-Level,Full-Time,Data Analyst,46426,SI,Medium
Senior-Level,Full-Time,Business Intelligence Engineer,78800,US,Medium
Mid-Level,Full-Time,Data Engineer,170000,US,Medium
Senior-Level,Full-Time,Machine Learning Modeler,142200,US,Medium
Mid-Level,Full-Time,Data Science,120000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,212800,US,Medium
Senior-Level,Full-Time,Data Scientist,150000,US,Medium
Senior-Level,Full-Time,Data Engineer,245000,US,Medium
Mid-Level,Full-Time,Data Scientist,31795,US,Medium
Senior-Level,Full-Time,Data Engineer,225000,US,Medium
Mid-Level,Full-Time,Data Science,106000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,250000,US,Medium
Senior-Level,Full-Time,Applied Scientist,168600,US,Medium
Senior-Level,Full-Time,Data Scientist,359170,US,Medium
Entry-Level,Full-Time,Research Analyst,47423,US,Medium
Mid-Level,Full-Time,Data Science Manager,180000,US,Medium
Senior-Level,Full-Time,Data Science Consultant,128000,US,Medium
Senior-Level,Full-Time,Data Engineer,126800,US,Medium
Senior-Level,Full-Time,Data Scientist,100000,US,Medium
Senior-Level,Full-Time,Research Scientist,278700,US,Medium
Senior-Level,Full-Time,Data Engineer,255000,US,Medium
Mid-Level,Full-Time,Machine Learning Infrastructure Engineer,55685,PT,Large
Senior-Level,Full-Time,Data Scientist,155000,US,Medium
Mid-Level,Full-Time,Data Scientist,30000,MX,Large
Senior-Level,Full-Time,Data Science Manager,200000,US,Medium
Senior-Level,Full-Time,Data Engineer,129300,US,Medium
Senior-Level,Full-Time,Data Scientist,111600,US,Large
Senior-Level,Full-Time,Data Analyst,100000,US,Medium
Entry-Level,Full-Time,Data Analyst,92000,US,Medium
Executive-Level,Full-Time,Data Engineer,115500,US,Medium
Senior-Level,Full-Time,Data Engineer,174350,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,207700,CA,Medium
Senior-Level,Full-Time,Data Scientist,152000,US,Medium
Senior-Level,Full-Time,Analytics Engineer,110000,US,Medium
Mid-Level,Full-Time,Applied Scientist,136000,US,Large
Mid-Level,Full-Time,Data Analyst,136000,US,Medium
Senior-Level,Full-Time,Data Analyst,105000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,115573,FR,Medium
Mid-Level,Full-Time,Machine Learning Engineer,116800,US,Medium
Mid-Level,Full-Time,Applied Scientist,222200,US,Large
Senior-Level,Full-Time,Machine Learning Engineer,193600,US,Medium
Senior-Level,Full-Time,Data Engineer,180000,US,Medium
Senior-Level,Full-Time,Data Engineer,191200,US,Medium
Mid-Level,Full-Time,Data Scientist,188500,US,Medium
Senior-Level,Full-Time,Data Analyst,150000,US,Medium
Senior-Level,Full-Time,Data Analyst,130000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,324000,US,Medium
Senior-Level,Full-Time,Data Scientist,84000,US,Medium
Entry-Level,Full-Time,Data Analyst,105000,US,Medium
Senior-Level,Full-Time,Business Intelligence Engineer,125000,US,Medium
Mid-Level,Full-Time,Data Operations Specialist,65000,US,Medium
Mid-Level,Full-Time,Research Scientist,220000,US,Medium
Senior-Level,Full-Time,Applied Scientist,212800,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,310000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,132600,US,Medium
Senior-Level,Full-Time,Business Intelligence Engineer,79600,US,Large
Entry-Level,Full-Time,Data Analyst,75065,US,Medium
Senior-Level,Full-Time,Data Engineer,168400,US,Medium
Entry-Level,Full-Time,Data Analyst,109700,US,Medium
Mid-Level,Full-Time,Data Scientist,94400,US,Medium
Senior-Level,Full-Time,Data Scientist,65333,LT,Medium
Entry-Level,Full-Time,Research Analyst,58400,US,Medium
Mid-Level,Full-Time,Data Science Manager,110000,US,Medium
Senior-Level,Full-Time,Data Scientist,114080,US,Medium
Mid-Level,Full-Time,Data Infrastructure Engineer,385000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,241000,US,Medium
Senior-Level,Full-Time,Data Analyst,164000,US,Medium
Senior-Level,Full-Time,Research Engineer,67993,ZA,Medium
Senior-Level,Full-Time,Decision Scientist,142200,US,Medium
Mid-Level,Full-Time,Data Scientist,60938,DE,Small
Senior-Level,Full-Time,Data Scientist,185900,US,Medium
Executive-Level,Full-Time,Director of Data Science,336400,US,Medium
Senior-Level,Full-Time,Data Engineer,146000,US,Medium
Senior-Level,Full-Time,Data Manager,169000,US,Medium
Senior-Level,Full-Time,Data Engineer,123700,US,Large
Senior-Level,Full-Time,Research Engineer,308000,US,Medium
Senior-Level,Full-Time,Computer Vision Engineer,210000,GB,Medium
Senior-Level,Full-Time,Data Scientist,129300,US,Medium
Mid-Level,Full-Time,Data Science Manager,159000,US,Medium
Entry-Level,Full-Time,Data Analyst,100000,US,Medium
Entry-Level,Full-Time,Data Engineer,135000,US,Medium
Senior-Level,Full-Time,Data Engineer,145000,US,Medium
Mid-Level,Full-Time,Machine Learning Engineer,200000,GB,Medium
Senior-Level,Full-Time,Data Analyst,169000,US,Medium
Mid-Level,Full-Time,Data Scientist,105000,US,Medium
Mid-Level,Full-Time,Data Engineer,95000,ES,Medium
Mid-Level,Full-Time,Data Engineer,205600,US,Large
Senior-Level,Full-Time,Applied Scientist,192000,US,Medium
Senior-Level,Full-Time,Data Engineer,110000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,123800,US,Medium
Mid-Level,Full-Time,Data Specialist,85000,US,Medium
Senior-Level,Full-Time,Data Analyst,153600,US,Medium
Senior-Level,Full-Time,Data Architect,110000,US,Medium
Mid-Level,Full-Time,Data Analyst,135000,US,Large
Senior-Level,Full-Time,Machine Learning Engineer,247500,US,Medium
Entry-Level,Full-Time,Data Analyst,120000,US,Medium
Senior-Level,Full-Time,Data Analyst,164000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,166600,US,Medium
Senior-Level,Full-Time,Data Scientist,184700,US,Medium
Senior-Level,Full-Time,Applied Scientist,350000,US,Large
Senior-Level,Full-Time,Data Manager,48000,CO,Medium
Senior-Level,Full-Time,Data Scientist,96750,US,Medium
Senior-Level,Full-Time,Data Engineer,95325,US,Medium
Senior-Level,Full-Time,Data Scientist,110000,US,Medium
Mid-Level,Full-Time,Applied Scientist,136000,US,Large
Senior-Level,Full-Time,BI Analyst,130000,US,Medium
Mid-Level,Full-Time,Business Intelligence Engineer,185000,US,Large
Mid-Level,Full-Time,Data Engineer,106500,US,Medium
Senior-Level,Full-Time,Data Analyst,140000,US,Medium
Mid-Level,Full-Time,Data Analyst,75000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,200000,US,Medium
Senior-Level,Full-Time,ML Engineer,145000,US,Medium
Entry-Level,Full-Time,Data Scientist,73100,US,Medium
Senior-Level,Full-Time,Data Science,140000,US,Medium
Mid-Level,Full-Time,Data Specialist,112500,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,296400,US,Medium
Senior-Level,Full-Time,Data Scientist,226500,US,Medium
Senior-Level,Full-Time,Business Intelligence Developer,144138,US,Medium
Mid-Level,Full-Time,Data Engineer,80000,US,Medium
Senior-Level,Full-Time,Data Engineer,225000,US,Medium
Senior-Level,Full-Time,Data Scientist,156560,US,Medium
Entry-Level,Full-Time,Data Analyst,26992,GB,Small
Senior-Level,Full-Time,Machine Learning Engineer,125000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,225000,FR,Medium
Mid-Level,Full-Time,Data Visualization Specialist,90300,US,Medium
Senior-Level,Full-Time,Data Manager,130000,US,Medium
Senior-Level,Full-Time,ML Engineer,270000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,414000,US,Medium
Senior-Level,Full-Time,AI Engineer,142352,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,248700,US,Medium
Entry-Level,Full-Time,Business Intelligence Analyst,85000,US,Medium
Senior-Level,Full-Time,Data Scientist,155000,US,Medium
Mid-Level,Full-Time,Data Analyst,60000,US,Medium
Mid-Level,Full-Time,Data Analyst,105000,US,Medium
Senior-Level,Full-Time,Business Intelligence Engineer,202800,US,Large
Senior-Level,Full-Time,Prompt Engineer,140000,US,Medium
Senior-Level,Full-Time,Data Scientist,168000,US,Medium
Senior-Level,Full-Time,Data Engineer,125000,US,Medium
Mid-Level,Full-Time,Data Scientist,68400,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,200000,US,Medium
Mid-Level,Full-Time,Data Engineer,80000,US,Medium
Senior-Level,Full-Time,Applied Scientist,184000,US,Medium
Mid-Level,Full-Time,Data Engineer,128000,US,Medium
Senior-Level,Full-Time,Data Scientist,114080,US,Medium
Senior-Level,Full-Time,Data Analyst,70000,US,Medium
Mid-Level,Full-Time,Data Analyst,166000,US,Medium
Senior-Level,Contract,Data Analyst,90000,US,Medium
Senior-Level,Full-Time,Data Scientist,130000,US,Medium
Senior-Level,Full-Time,Data Engineer,68750,GB,Medium
Senior-Level,Full-Time,Data Science,245000,US,Medium
Mid-Level,Full-Time,Data Analyst,100000,US,Medium
Mid-Level,Full-Time,Data Analyst,100000,US,Medium
Senior-Level,Full-Time,Data Analyst,137500,US,Medium
Executive-Level,Full-Time,Analytics Engineer,210000,US,Medium
Senior-Level,Full-Time,Data Engineer,80000,US,Medium
Mid-Level,Full-Time,Data Scientist,120000,US,Medium
Entry-Level,Full-Time,Data Science Analyst,64000,US,Medium
Executive-Level,Full-Time,Director of Data Science,225000,US,Medium
Senior-Level,Full-Time,Data Analyst,138860,US,Medium
Senior-Level,Full-Time,Data Engineer,63000,US,Medium
Senior-Level,Full-Time,Data Scientist,54094,IN,Large
Mid-Level,Full-Time,Data Engineer,162500,US,Medium
Senior-Level,Full-Time,Data Modeler,74300,US,Medium
Mid-Level,Full-Time,Data Scientist,25532,DE,Small
Senior-Level,Full-Time,Machine Learning Engineer,190000,US,Medium
Senior-Level,Full-Time,Analytics Engineer,136000,US,Medium
Senior-Level,Full-Time,Machine Learning Infrastructure Engineer,235000,US,Medium
Senior-Level,Full-Time,Data Engineer,205600,US,Large
Mid-Level,Full-Time,Data Engineer,270250,US,Medium
Senior-Level,Full-Time,Data Scientist,141525,US,Medium
Mid-Level,Full-Time,Research Engineer,245000,US,Medium
Senior-Level,Full-Time,Data Engineer,167500,US,Medium
Senior-Level,Full-Time,Computational Biologist,174000,US,Medium
Senior-Level,Full-Time,Data Analyst,115000,US,Medium
Senior-Level,Full-Time,Analytics Engineer,136675,US,Medium
Mid-Level,Full-Time,Research Scientist,295000,US,Medium
Senior-Level,Full-Time,Data Engineer,163625,US,Medium
Senior-Level,Full-Time,Data Engineer,146266,US,Medium
Senior-Level,Full-Time,Applied Scientist,220000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,146900,US,Medium
Mid-Level,Full-Time,AWS Data Architect,258000,US,Large
Senior-Level,Full-Time,Data Engineer,229998,US,Large
Senior-Level,Full-Time,Data Architect,125600,US,Medium
Entry-Level,Full-Time,BI Data Engineer,60000,US,Medium
Senior-Level,Full-Time,Data Scientist,118000,US,Medium
Senior-Level,Full-Time,Data Engineer,44051,EE,Medium
Senior-Level,Full-Time,Data Engineer,46565,PL,Large
Senior-Level,Full-Time,Data Engineer,155000,US,Medium
Senior-Level,Full-Time,Analytics Engineer,160000,US,Medium
Executive-Level,Full-Time,Business Intelligence,155000,CA,Medium
Senior-Level,Full-Time,Data Engineer,130000,US,Medium
Entry-Level,Full-Time,Data Management Analyst,80000,US,Medium
Mid-Level,Full-Time,Analytics Engineer,75000,US,Medium
Mid-Level,Full-Time,Data Scientist,135000,US,Medium
Senior-Level,Full-Time,Data Engineer,61875,GB,Medium
Entry-Level,Full-Time,Data Analyst,85500,US,Medium
Senior-Level,Full-Time,Data Science Practitioner,198800,US,Medium
Mid-Level,Full-Time,Data Engineer,99000,US,Medium
Senior-Level,Full-Time,Data Science,70000,US,Medium
Senior-Level,Full-Time,Data Scientist,224250,US,Medium
Senior-Level,Full-Time,Data Engineer,78000,US,Medium
Senior-Level,Full-Time,Data Scientist,195000,US,Medium
